pr_number,pr_date,pr_type,company_code,plant,purchasing_group,created_by,item_number,material_group,quantity,unit,net_price,currency,delivery_date,gl_account,cost_center,wbs_element,order_number,profit_center,short_text,header_text
1000000001,2023-01-10,NB,1000,1010,001,USER001,00010,01010,10.0,EA,120.00,EUR,2023-02-10,400000,10001010,,OR100001,YB10,Office paper A4 80g/m²,Q1 Office Supplies
1000000001,2023-01-10,NB,1000,1010,001,USER001,00020,01010,5.0,EA,35.50,EUR,2023-02-10,400000,10001010,,OR100001,YB10,Ballpoint pen set blue,Q1 Office Supplies
1000000001,2023-01-10,NB,1000,1010,001,USER001,00030,01020,2.0,PC,89.00,EUR,2023-02-10,400000,10001010,,OR100001,YB10,Stapler heavy duty,Q1 Office Supplies
1000000002,2023-01-12,NB,1000,1020,002,USER002,00010,02020,2.0,PC,4500.00,EUR,2023-02-28,470000,10002020,,OR100002,YB20,Laptop Dell Latitude 5540,IT Hardware Refresh
1000000002,2023-01-12,NB,1000,1020,002,USER002,00020,02020,4.0,PC,350.00,EUR,2023-02-28,470000,10002020,,OR100002,YB20,Wireless keyboard and mouse set,IT Hardware Refresh
1000000003,2023-01-15,ZNB,2000,2010,010,USER003,00010,05050,100.0,KG,8.75,EUR,2023-03-01,510000,,E-2023-0011,,YB30,Industrial cleaning agent ISO 9001,Maintenance supplies
1000000003,2023-01-15,ZNB,2000,2010,010,USER003,00020,05060,20.0,PC,14.20,EUR,2023-03-01,510000,,E-2023-0011,,YB30,Microfibre cleaning cloth pack,Maintenance supplies
1000000004,2023-01-18,NB,1000,1010,001,USER004,00010,01010,1.0,EA,999999.00,USD,2023-02-01,400000,10001010,,,YB10,Stapler premium model,ANOMALY - price outlier
1000000005,2023-01-20,NB,1000,1010,003,USER005,00010,03030,50.0,ST,22.00,EUR,2023-03-15,420000,10003030,,OR100005,YB10,Safety gloves L size EN388,PPE Order Jan
1000000005,2023-01-20,NB,1000,1010,003,USER005,00020,03030,50.0,ST,22.00,EUR,2023-03-15,420000,10003030,,OR100005,YB10,Safety goggles EN166 clear,PPE Order Jan
1000000005,2023-01-20,NB,1000,1010,003,USER005,00030,03040,10.0,PC,145.00,EUR,2023-03-15,420000,10003030,,OR100005,YB10,Hard hat EN397 white,PPE Order Jan
1000000006,2023-01-22,NB,3000,3010,005,USER006,00010,04040,1.0,PC,15000.00,EUR,2023-04-01,480000,,E-2023-0012,,YB40,Industrial pump type P200,Capex Q1 Plant 3010
1000000007,2023-01-25,NB,1000,1010,001,USER007,00010,01010,20.0,EA,18.00,EUR,2023-02-25,400000,10001010,,OR100007,YB10,Printer toner HP 85A black,Toner replenishment
1000000007,2023-01-25,NB,1000,1010,001,USER007,00020,01010,10.0,EA,22.00,EUR,2023-02-25,400000,10001010,,OR100007,YB10,Printer toner HP 85A cyan,Toner replenishment
1000000008,2023-01-28,NB,1000,1010,002,USER001,00010,02020,1.0,PC,12000.00,EUR,2023-03-31,470000,10002020,,OR100008,YB20,Monitor 27 inch 4K UHD,IT Equipment
1000000009,2023-02-01,ZNB,2000,2010,010,USER003,00010,05050,5.0,PC,320.00,EUR,2023-02-28,510000,,E-2023-0013,,YB30,Hydraulic seal kit P220,Planned maintenance Feb
1000000010,2023-02-03,NB,1000,1010,001,USER002,00010,01010,500.0,EA,0.50,EUR,2023-02-20,400000,10001010,,OR100010,YB10,Pencil HB standard,Stationery bulk order
1000000011,2023-02-05,NB,1000,1030,004,USER008,00010,06060,3.0,PC,2200.00,EUR,2023-03-20,460000,10004040,,OR100011,YB10,Office chair ergonomic black,Furniture replacement
1000000011,2023-02-05,NB,1000,1030,004,USER008,00020,06060,1.0,PC,450.00,EUR,2023-03-20,460000,10004040,,OR100011,YB10,Standing desk converter,Furniture replacement
1000000012,2023-02-07,NB,2000,2020,008,USER009,00010,07070,10.0,L,45.00,EUR,2023-02-28,520000,20001010,,OR100012,YB30,Hydraulic oil ISO VG 46,Lubricants monthly
